timestamp,ticker,signal,composite_score,technical_score,fundamental_score,last_close,buy_price,sell_target,stop_loss,suggested_shares,max_risk_amount
2026-05-09T03:26:42.744016,GS,NO_BUY,73,49,24,936.48,,,,,
2026-05-09T03:26:42.744016,MSFT,NO_BUY,60,30,30,415.12,,,,,
2026-05-09T03:26:42.744016,NVDA,NO_BUY,50,26,24,215.2,,,,,
2026-05-09T03:26:42.744016,AAPL,NO_BUY,48,24,24,293.32,,,,,
2026-05-09T03:26:42.744016,BA,NO_BUY,35,27,8,237.36,,,,,
2026-05-09T03:26:42.744016,TSLA,NO_BUY,21,5,16,428.35,,,,,
